dataset,algorithm,nmi
sizes4,ag,1.0
sizes4,birch,1.0
sizes4,spectral,1.0
sizes4,meanshift,1.0
sizes4,optics,1.0
sizes4,db,1.0
3MC,kmeans,0.4977443609022556
3MC,ap,1.0
3MC,ag,1.0
3MC,birch,1.0
3MC,spectral,1.0
3MC,meanshift,1.0
3MC,optics,1.0
3MC,db,1.0
disk-4000n,kmeans,0.4421052631578947
disk-4000n,ap,1.0
disk-4000n,ag,1.0
disk-4000n,birch,1.0
disk-4000n,spectral,1.0
disk-4000n,meanshift,1.0
disk-4000n,optics,1.0
disk-4000n,db,1.0
longsquare,kmeans,0.20300751879699244
longsquare,ap,0.9285714285714287
longsquare,ag,1.0
longsquare,birch,1.0
longsquare,spectral,1.0
longsquare,meanshift,1.0
longsquare,optics,1.0
longsquare,db,1.0
chainlink,kmeans,0.3082706766917293
chainlink,ap,0.25
chainlink,ag,1.0
chainlink,birch,1.0
chainlink,spectral,1.0
chainlink,meanshift,1.0
chainlink,optics,1.0
chainlink,db,1.0
hepta,kmeans,0.6075187969924812
hepta,ap,1.0
hepta,ag,1.0
hepta,birch,1.0
hepta,spectral,1.0
hepta,meanshift,1.0
hepta,optics,1.0
hepta,db,1.0
smile1,kmeans,0.3037593984962406
smile1,ap,0.8285714285714287
smile1,ag,1.0
smile1,birch,1.0
smile1,spectral,1.0
smile1,meanshift,1.0
smile1,optics,1.0
smile1,db,1.0
DS-577,kmeans,0.24661654135338343
DS-577,ap,0.9999999999999999
DS-577,ag,1.0
DS-577,birch,1.0
DS-577,spectral,1.0
DS-577,meanshift,1.0
DS-577,optics,1.0
DS-577,db,1.0
hypercube,kmeans,0.14586466165413534
hypercube,ap,0.9999999999999999
hypercube,ag,1.0
hypercube,birch,1.0
hypercube,spectral,1.0
hypercube,meanshift,1.0
hypercube,optics,1.0
hypercube,db,1.0
sizes1,kmeans,0.33383458646616543
sizes1,ap,0.2380952380952381
sizes1,ag,1.0
sizes1,birch,1.0
sizes1,spectral,1.0
sizes1,meanshift,1.0
sizes1,optics,1.0
sizes1,db,1.0
